date,red_fighter,blue_fighter,winner,red_sig_str_percent,blue_sig_str_percent,red_sub_att,blue_sub_att,red_stance,blue_stance,red_total_str_percent,blue_total_str_percent,red_td_percent,blue_td_percent,height_diff,reach_diff,red_age,blue_age,red_sig_strike_defence_percent,blue_sig_strike_defence_percent,red_td_defence_percent,blue_td_defence_percent,red_td_defence_average,blue_td_defence_average,red_td_average,blue_td_average,red_sig_str_average,blue_sig_str_average,red_total_str_average,blue_total_str_average,red_sig_strike_defence_average,blue_sig_strike_defence_average
2019-02-17,Renan Barao,Luke Sanders,L,0.5128205128205128,0.52,0,0,Orthodox,Southpaw,0.5189873417721519,0.5256410256410257,0.0,0.0,0.0,7.6200000000000045,32,33,0.48,0.49,1.0,1.0,0.875,0.6599999999999999,0.2858906525573192,0.1,0.38283911914434055,0.5015742714996446,0.43530468694187446,0.5344140180377114,0.6311111111111111,0.568
2018-12-15,Jim Miller,Charles Oliveira,L,0.5,0.0,0,1,Southpaw,Orthodox,0.5,0.5,0.0,1.0,-5.0,-7.6200000000000045,35,29,1.0,0.5,0.0,1.0,0.6775757575757576,0.731904761904762,0.44062049062049063,0.4292018827733114,0.3894185695000391,0.5106004437947546,0.4793576090285462,0.5776278765171979,0.606969696969697,0.5704761904761905
2018-12-01,Mauricio Rua,Tyson Pedro,W,0.5357142857142857,0.7045454545454546,0,1,Orthodox,Orthodox,0.6595744680851063,0.7346938775510204,0.6,0.0,-5.0,-7.6200000000000045,37,27,0.3,0.47,1.0,0.4,0.6089473684210527,0.76,0.23095238095238094,0.2,0.5021334544222416,0.6148769266160571,0.6076470958188677,0.6953697197942722,0.5373684210526315,0.518
2018-11-30,Rafael Dos Anjos,Kamaru Usman,L,0.5535714285714286,0.5829596412556054,2,0,Southpaw,Switch,0.6086956521739131,0.6796407185628742,0.0,0.6666666666666666,-10.0,-15.23999999999998,34,32,0.42,0.4499999999999999,0.3399999999999999,1.0,0.7676923076923077,1.0,0.29796110751993105,0.36726833108412055,0.44647515739837185,0.5244013828538573,0.5195551476329803,0.6312986937557776,0.6496153846153846,0.615
2019-02-02,Livinha Souza,Sarah Frota,W,0.3538461538461538,0.3555555555555555,3,0,Orthodox,Southpaw,0.635593220338983,0.5454545454545454,0.4,0.0,-8.0,-15.23999999999998,28,32,0.65,0.65,1.0,0.6,1.0,0.6067417230461534,1.0,0.0,0.5555555555555556,0.3661356357734689,0.5555555555555556,,0.56,0.6614597333231583
2019-02-09,Shane Young,Austin Arnett,W,0.3896103896103896,0.3684210526315789,0,0,Orthodox,Orthodox,0.3915857605177993,0.3714285714285714,0.0,0.0,-10.0,0.0,26,27,0.64,0.62,1.0,1.0,0.825,0.4466666666666666,0.6,0.38888888888888884,0.35297157622739017,0.44390729471865376,0.37265584075432157,0.4633698613864326,0.52,0.5566666666666666
2018-11-24,Curtis Blaydes,Francis Ngannou,L,0.125,0.7647058823529411,0,0,Orthodox,Orthodox,0.125,0.7647058823529411,0.0,0.0,0.0,-7.6200000000000045,28,32,0.24,0.88,1.0,1.0,0.8571428571428571,0.82375,0.6687074829931973,0.0,0.551357250425618,0.4816317713537798,0.614803675484069,0.5225508766657175,0.4642857142857143,0.61375
2019-02-17,Aleksandra Albu,Emily Whitmire,L,0.4,0.6,0,1,Orthodox,Orthodox,0.3333333333333333,0.7272727272727273,0.0,1.0,-8.0,0.0,29,28,0.4,0.6,0.0,1.0,0.7749999999999999,0.5,0.3125,0.25,0.5652290144359294,0.4448087431693989,0.6047144429497371,0.5352272727272727,0.37499999999999994,0.625
2019-01-19,Glover Teixeira,Karl Roberson,W,0.5454545454545454,0.8,1,0,Orthodox,Southpaw,0.7692307692307693,0.8285714285714286,0.3333333333333333,0.0,3.0,5.079999999999984,39,28,0.1999999999999999,0.4599999999999999,1.0,0.6699999999999999,0.8423529411764706,0.7799999999999999,0.35032679738562095,0.5555555555555555,0.4551204565928118,0.628223446961965,0.5221198253360912,0.7200117889773062,0.5823529411764706,0.5533333333333333
2018-12-08,Hakeem Dawodu,Kyle Bochniak,W,0.4858490566037736,0.3853211009174312,0,0,Orthodox,Orthodox,0.4858490566037736,0.4122807017543859,0.0,0.1666666666666666,3.0,7.6200000000000045,27,32,0.62,0.52,0.84,1.0,1.0,0.55,0.0,0.14666666666666667,0.7205882352941176,0.32672210478905817,0.7272727272727273,0.3583401777040582,0.635,0.616
